Peso específico (kN/m³),Ángulo de fricción (°),Cohesión (kPa),Altura del talud (m),Ángulo del talud (°),kh,Slope stability
18.5,24.5,32,8.5,27,0,1.4999
17,27.5,30,3.25,24,0,2.9583
19,26.5,44,13,19,0,1.5333
19.5,27,30,5,23,0,1.8872
17,27,33,15.25,17,0,1.3995
16,25.5,31,4,22,0,2.6275
19,31.5,23,3,20,0,2.7158
17,30.5,29,16,28,0,1.3533
19.5,34.5,14,7,17,0,1.5135
16.5,18.5,30,3.5,17,0,2.4648
17,22.5,34,9.25,18,0,1.518
18,25,31,3.25,40,0,2.6833
17,24,30,7,20,0,1.5922
18.5,27,23,6,23,0,1.5881
18,22.5,30,4.5,28,0,1.8784
19.5,35.5,19,5.5,16,0,1.8293
19.5,30.5,24,4,22,0,2.1082
19.5,28,43,5,19,0,2.6774
17.5,28,39,5.25,33,0,2.294
16,29,31,4,23,0,2.7771
20,32,35,5.75,22,0,2.1675
16,25,35,6.75,21,0,1.5671
15,0,24,42.25,40,0,0.1763
16,0,22,34.25,81,0,0.1621
19,0,56,36,30,0,0.3778
19.5,0,40,25,38,0,0.3723
19,0,44,33,52,0,0.306
19,0,54,47.75,79,0,0.2383
18.5,0,56,46.75,87,0,0.2307
19,0,44,28.75,66,0,0.3355
18,0,81,38.25,81,0,0.4182
19,0,60,32,55,0,0.4179
16,0,33,31.5,46,0,0.2909
16.5,0,32,18.5,73,0,0.4037
18.5,0,29,46.25,32,0,0.1657
18.5,0,25,30.25,35,0,0.2096
18,0,31,42.25,38,0,0.1928
17,0,39,44.75,44,0,0.229
18,0,27,15.25,61,0,0.4002
17,0,16,10,43,0,0.4228
18.5,0,68,29.5,20,0,0.5627
17,0,45,25.25,23,0,0.4808
19,0,28,10.25,31,0,0.6245
16,0,51,45.75,47,0,0.3123
19,0,73,47.5,25,0,0.3701
18,0,63,20.5,87,0,0.373
17.5,0,70,46.75,17,0,0.4003
20,0,69,27.75,39,0,0.5457
16,0,40,18.5,45,0,0.5726
16.5,0,60,39.75,29,0,0.4174
17,0,33,7.75,69,0,0.7146
17.5,0,57,24,35,0,0.5815
17,0,38,19.25,44,0,0.5002
16,0,53,19,38,0,0.7182
17,0,21,3,42,0,1.2569
16.5,0,25,5.75,51,0,0.9607
18.5,0,75,20.5,33,0,0.8195
18.5,0,58,14.75,67,0,0.7485
18,0,30,8.25,36,0,0.8276
18,0,45,12.75,44,0,0.7839
18.5,0,65,17.75,36,0,0.8072
20.5,0,54,15.5,20,0,0.7417
18.5,0,60,15.25,41,0,0.8608
17.5,0,77,22.25,37,0,0.8229
19.5,0,70,16.25,63,0,0.7963
17,0,72,22,27,0,0.8192
16.5,0,43,10,26,0,1.0304
17.5,0,35,5.75,63,0,0.863
17,0,53,11.5,63,0,0.8833
19,0,39,10.5,44,0,0.7981
15,0,24,3.75,22,0,1.2923
14.5,0,22,4.75,21,0,1.2155
18,0,61,12.25,28,0,1.0945
19.5,0,77,15.25,37,0,1.023
19,0,72,15,61,0,0.8895
17,0,79,19.25,21,0,0.9905
19,0,50,8.75,60,0,1.0032
17.5,0,60,11.25,61,0,0.9613
17.5,0,36,6.5,41,0,1.1659
17,0,28,4.5,35,0,1.2979
17,0,60,11.5,49,0,1.0723
18,0,67,13.75,41,0,1.0371
18,0,43,6.25,78,0,0.5328
20,0,85,16.75,58,0,0.9009
19.5,0,82,11.5,88,0,0.3843
18,0,97,21.5,33,0,1.0096
17,0,90,19,17,0,1.1047
17,0,66,10,75,0,0.586
19.5,0,55,8,85,0,0.4078
17,0,61,12,35,0,1.1323
17.5,0,67,14.75,37,0,1.0141
16,0,34,5.25,19,0,1.3308
18.5,0,27,5,58,0,0.9943
16.5,0,37,6,32,0,1.3289
18,0,55,10.75,20,0,1.1427
16.5,0,53,3.75,86,0,1.8752
18.5,0,32,5.25,58,0,0.9851
17,0,43,5.75,58,0,0.9812
19,0,43,9.75,49,0,0.8787
19,0,25,4.75,54,0,1.0025
14,0,25,3.25,18,0,1.4934
17.5,0,75,13.75,35,0,1.1659
17,0,54,5,77,0,1.2166
17.5,0,69,9.75,55,0,1.0577
18,0,52,7.75,15,0,1.3791
16,0,39,3,63,0,2.3378
18.5,0,49,4.75,83,0,1.048
18.5,0,41,5.5,34,0,1.3945
17.5,0,50,5,77,0,1.0062
19.5,0,71,11.25,49,0,1.1285
17,0,66,10,48,0,1.1583
20,0,65,12.75,57,0,0.8916
19,0,82,12.5,67,0,0.8321
20,0,64,10,73,0,0.6565
17,0,61,10.25,42,0,1.2045
19.5,0,84,15,20,0,1.2004
18.5,0,63,10.25,25,0,1.2875
17.5,0,67,5,87,0,1.6803
16,0,59,10.5,34,0,1.2317
17,0,76,13,39,0,1.197
20,0,59,10,66,0,0.8407
18.5,0,35,4.25,25,0,1.5408
19,0,48,4.75,88,0,0.5557
